MATCH: phishing_mails/247 -> similarity=345.00, yara_score=0.00, total=345.00
MATCH: phishing_mails/248 -> similarity=493.00, yara_score=0.00, total=493.00
MATCH: phishing_mails/249 -> similarity=853.00, yara_score=0.00, total=853.00
MATCH: phishing_mails/250 -> similarity=923.00, yara_score=0.00, total=923.00
MATCH: phishing_mails/251 -> similarity=474.00, yara_score=0.00, total=474.00
MATCH: phishing_mails/252 -> similarity=1208.00, yara_score=0.00, total=1208.00
MATCH: phishing_mails/253 -> similarity=709.00, yara_score=0.00, total=709.00
MATCH: phishing_mails/254 -> similarity=351.00, yara_score=0.00, total=351.00
MATCH: phishing_mails/255 -> similarity=3726.00, yara_score=0.00, total=3726.00
MATCH: phishing_mails/256 -> similarity=331.00, yara_score=0.00, total=331.00
MATCH: phishing_mails/257 -> similarity=2567.00, yara_score=0.00, total=2567.00
MATCH: phishing_mails/258 -> similarity=799.00, yara_score=0.00, total=799.00
MATCH: phishing_mails/259 -> similarity=399.00, yara_score=0.00, total=399.00
MATCH: phishing_mails/260 -> similarity=302.00, yara_score=0.00, total=302.00
MATCH: phishing_mails/261 -> similarity=548.00, yara_score=0.00, total=548.00
MATCH: phishing_mails/262 -> similarity=865.00, yara_score=0.00, total=865.00
MATCH: phishing_mails/263 -> similarity=928.00, yara_score=0.00, total=928.00
MATCH: phishing_mails/264 -> similarity=707.00, yara_score=0.00, total=707.00
MATCH: phishing_mails/265 -> similarity=852.00, yara_score=0.00, total=852.00
MATCH: phishing_mails/266 -> similarity=1936.00, yara_score=0.00, total=1936.00
MATCH: phishing_mails/267 -> similarity=373.00, yara_score=0.00, total=373.00
MATCH: phishing_mails/268 -> similarity=366.00, yara_score=0.00, total=366.00
MATCH: phishing_mails/269 -> similarity=366.00, yara_score=0.00, total=366.00
MATCH: phishing_mails/270 -> similarity=356.00, yara_score=0.00, total=356.00
MATCH: phishing_mails/271 -> similarity=329.00, yara_score=0.00, total=329.00
MATCH: phishing_mails/272 -> similarity=675.00, yara_score=0.00, total=675.00
MATCH: phishing_mails/273 -> similarity=612.00, yara_score=0.00, total=612.00
MATCH: phishing_mails/274 -> similarity=1547.00, yara_score=0.00, total=1547.00
MATCH: phishing_mails/275 -> similarity=1056.00, yara_score=0.00, total=1056.00
MATCH: phishing_mails/276 -> similarity=337.00, yara_score=0.00, total=337.00
MATCH: phishing_mails/277 -> similarity=285.00, yara_score=0.00, total=285.00
MATCH: phishing_mails/278 -> similarity=341.00, yara_score=0.00, total=341.00
MATCH: phishing_mails/279 -> similarity=902.00, yara_score=0.00, total=902.00
MATCH: phishing_mails/280 -> similarity=865.00, yara_score=0.00, total=865.00
MATCH: phishing_mails/281 -> similarity=280.00, yara_score=0.00, total=280.00
MATCH: phishing_mails/282 -> similarity=302.00, yara_score=0.00, total=302.00
MATCH: phishing_mails/283 -> similarity=983.00, yara_score=0.00, total=983.00
MATCH: phishing_mails/284 -> similarity=497.00, yara_score=0.00, total=497.00
MATCH: phishing_mails/285 -> similarity=386.00, yara_score=0.00, total=386.00
MATCH: phishing_mails/286 -> similarity=2567.00, yara_score=0.00, total=2567.00
MATCH: phishing_mails/287 -> similarity=849.00, yara_score=0.00, total=849.00
MATCH: phishing_mails/288 -> similarity=311.00, yara_score=0.00, total=311.00
MATCH: phishing_mails/289 -> similarity=1711.00, yara_score=0.00, total=1711.00
MATCH: phishing_mails/290 -> similarity=637.00, yara_score=0.00, total=637.00
MATCH: phishing_mails/291 -> similarity=503.00, yara_score=0.00, total=503.00
MATCH: phishing_mails/292 -> similarity=378.00, yara_score=0.00, total=378.00
MATCH: phishing_mails/293 -> similarity=573.00, yara_score=0.00, total=573.00
MATCH: phishing_mails/294 -> similarity=839.00, yara_score=0.00, total=839.00
MATCH: phishing_mails/295 -> similarity=1021.00, yara_score=0.00, total=1021.00
MATCH: phishing_mails/296 -> similarity=394.00, yara_score=0.00, total=394.00
MATCH: phishing_mails/297 -> similarity=364.00, yara_score=0.00, total=364.00
MATCH: phishing_mails/298 -> similarity=2250.00, yara_score=0.00, total=2250.00
MATCH: phishing_mails/299 -> similarity=594.00, yara_score=0.00, total=594.00
MATCH: phishing_mails/300 -> similarity=696.00, yara_score=0.00, total=696.00
MATCH: phishing_mails/301 -> similarity=574.00, yara_score=0.00, total=574.00
MATCH: phishing_mails/302 -> similarity=394.00, yara_score=0.00, total=394.00
MATCH: phishing_mails/303 -> similarity=578.00, yara_score=0.00, total=578.00
MATCH: phishing_mails/304 -> similarity=365.00, yara_score=0.00, total=365.00
MATCH: phishing_mails/305 -> similarity=1107.00, yara_score=0.00, total=1107.00
MATCH: phishing_mails/306 -> similarity=770.00, yara_score=0.00, total=770.00
MATCH: phishing_mails/307 -> similarity=500.00, yara_score=0.00, total=500.00
MATCH: phishing_mails/308 -> similarity=395.00, yara_score=0.00, total=395.00
MATCH: phishing_mails/309 -> similarity=618.00, yara_score=0.00, total=618.00
MATCH: phishing_mails/310 -> similarity=489.00, yara_score=0.00, total=489.00
MATCH: phishing_mails/311 -> similarity=822.00, yara_score=0.00, total=822.00
MATCH: phishing_mails/312 -> similarity=832.00, yara_score=0.00, total=832.00
MATCH: phishing_mails/313 -> similarity=239.00, yara_score=0.00, total=239.00
MATCH: phishing_mails/314 -> similarity=476.00, yara_score=0.00, total=476.00
MATCH: phishing_mails/315 -> similarity=620.00, yara_score=0.00, total=620.00
MATCH: phishing_mails/316 -> similarity=604.00, yara_score=0.00, total=604.00
MATCH: phishing_mails/317 -> similarity=1602.00, yara_score=0.00, total=1602.00
MATCH: phishing_mails/318 -> similarity=346.00, yara_score=0.00, total=346.00
MATCH: phishing_mails/319 -> similarity=524.00, yara_score=0.00, total=524.00
MATCH: phishing_mails/320 -> similarity=420.00, yara_score=0.00, total=420.00
MATCH: phishing_mails/321 -> similarity=365.00, yara_score=0.00, total=365.00
MATCH: phishing_mails/322 -> similarity=280.00, yara_score=0.00, total=280.00
MATCH: phishing_mails/323 -> similarity=260.00, yara_score=0.00, total=260.00
MATCH: phishing_mails/324 -> similarity=261.00, yara_score=0.00, total=261.00
MATCH: phishing_mails/325 -> similarity=1094.00, yara_score=0.00, total=1094.00
MATCH: phishing_mails/326 -> similarity=476.00, yara_score=0.00, total=476.00
MATCH: phishing_mails/327 -> similarity=504.00, yara_score=0.00, total=504.00
MATCH: phishing_mails/328 -> similarity=1100.00, yara_score=0.00, total=1100.00
MATCH: phishing_mails/329 -> similarity=430.00, yara_score=0.00, total=430.00
MATCH: phishing_mails/330 -> similarity=1444.00, yara_score=0.00, total=1444.00
MATCH: phishing_mails/331 -> similarity=861.00, yara_score=0.00, total=861.00
MATCH: phishing_mails/332 -> similarity=1425.00, yara_score=0.00, total=1425.00
MATCH: phishing_mails/333 -> similarity=616.00, yara_score=0.00, total=616.00
MATCH: phishing_mails/334 -> similarity=528.00, yara_score=0.00, total=528.00
MATCH: phishing_mails/335 -> similarity=279.00, yara_score=0.00, total=279.00
MATCH: phishing_mails/336 -> similarity=661.00, yara_score=0.00, total=661.00
MATCH: phishing_mails/337 -> similarity=510.00, yara_score=0.00, total=510.00
MATCH: phishing_mails/338 -> similarity=1096.00, yara_score=0.00, total=1096.00
MATCH: phishing_mails/339 -> similarity=320.00, yara_score=0.00, total=320.00
MATCH: phishing_mails/340 -> similarity=619.00, yara_score=0.00, total=619.00
MATCH: phishing_mails/341 -> similarity=1097.00, yara_score=0.00, total=1097.00
MATCH: phishing_mails/342 -> similarity=1424.00, yara_score=0.00, total=1424.00
MATCH: phishing_mails/343 -> similarity=588.00, yara_score=0.00, total=588.00
MATCH: phishing_mails/344 -> similarity=258.00, yara_score=0.00, total=258.00
MATCH: phishing_mails/345 -> similarity=270.00, yara_score=0.00, total=270.00
MATCH: phishing_mails/346 -> similarity=1256.00, yara_score=0.00, total=1256.00
MATCH: phishing_mails/347 -> similarity=1256.00, yara_score=0.00, total=1256.00
MATCH: phishing_mails/348 -> similarity=521.00, yara_score=0.00, total=521.00
