MATCH: phishing_mails/234 -> similarity=1365.00, yara_score=0.00, total=1365.00
MATCH: phishing_mails/235 -> similarity=1699.00, yara_score=0.00, total=1699.00
MATCH: phishing_mails/236 -> similarity=1020.00, yara_score=0.00, total=1020.00
MATCH: phishing_mails/237 -> similarity=2203.00, yara_score=0.00, total=2203.00
MATCH: phishing_mails/238 -> similarity=1225.00, yara_score=0.00, total=1225.00
MATCH: phishing_mails/239 -> similarity=5096.00, yara_score=0.00, total=5096.00
MATCH: phishing_mails/240 -> similarity=1183.00, yara_score=0.00, total=1183.00
MATCH: phishing_mails/241 -> similarity=1596.00, yara_score=0.00, total=1596.00
MATCH: phishing_mails/242 -> similarity=2216.00, yara_score=0.00, total=2216.00
MATCH: phishing_mails/243 -> similarity=4792.00, yara_score=0.00, total=4792.00
MATCH: phishing_mails/244 -> similarity=3613.00, yara_score=0.00, total=3613.00
MATCH: phishing_mails/245 -> similarity=1021.00, yara_score=0.00, total=1021.00
MATCH: phishing_mails/246 -> similarity=3450.00, yara_score=0.00, total=3450.00
MATCH: phishing_mails/247 -> similarity=1818.00, yara_score=0.00, total=1818.00
MATCH: phishing_mails/248 -> similarity=737.00, yara_score=0.00, total=737.00
MATCH: phishing_mails/249 -> similarity=1612.00, yara_score=0.00, total=1612.00
MATCH: phishing_mails/250 -> similarity=1171.00, yara_score=0.00, total=1171.00
MATCH: phishing_mails/251 -> similarity=1120.00, yara_score=0.00, total=1120.00
MATCH: phishing_mails/252 -> similarity=1105.00, yara_score=0.00, total=1105.00
MATCH: phishing_mails/253 -> similarity=2779.00, yara_score=0.00, total=2779.00
MATCH: phishing_mails/254 -> similarity=995.00, yara_score=0.00, total=995.00
MATCH: phishing_mails/255 -> similarity=1215.00, yara_score=0.00, total=1215.00
MATCH: phishing_mails/256 -> similarity=1694.00, yara_score=0.00, total=1694.00
MATCH: phishing_mails/257 -> similarity=7187.00, yara_score=0.00, total=7187.00
MATCH: phishing_mails/258 -> similarity=2138.00, yara_score=0.00, total=2138.00
